ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J093336.28+333701.5,21.25,0.07,19.09,0.05,18.42,0.04,17.18,0.02,16.52,0.02,15.85,0.02,15.38,0.04,15.28,0.09,L1.5   ,10.6,L0     ,12,Simbad,143.40117,33.61708
J093407.58+305930.6,21.42,0.11,19.53,0.09,18.42,0.03,17.45,0.02,16.76,0.03,16.22,0.03,15.96,0.06,15.57,0.12,L0.5   ,5.65,       ,  ,Simbad,143.53158,30.99183
J093512.60+012347.4,21.99,0.32,19.69,0.63,18.51,0.04,17.35,0.02,16.6,0.03,16.06,0.03,15.34,0.04,15.02,0.08,L3     ,14.08,       ,  ,Simbad,143.8025,1.3965
J093532.51+090356.4,20.41,0.07,18.39,0.06,17.58,0.02,16.56,0.01,15.93,0.01,15.31,0.01,15,0.04,14.8,0.06,L0     ,2.72,L0:    ,6,Simbad,143.88546,9.06567
J093558.28+054715.7,21.32,0.11,19.34,0.1,18.33,0.03,17.4,0.02,16.78,0.03,16.31,0.03,15.89,0.05,15.57,0.13,L0     ,7.15,       ,  ,Simbad,143.99283,5.78769
J093621.86+062939.1,20.44,0.06,18.55,0.05,17.62,0.02,16.45,0.01,15.76,0.01,15.15,0.01,14.81,0.03,14.53,0.06,L1.5   ,2.01,       ,  ,Simbad,144.09108,6.49419
J093630.49-005306.2,19.08,0.02,17.05,0.02,16.16,0.01,15.16,0.01,14.55,0.01,14.02,0.01,13.74,0.03,13.46,0.03,L0     ,1.66,M8.5   ,8,Simbad,144.12704,-0.88506
J093633.88+061457.4,18.39,0.02,16.45,0.02,15.5,0.01,14.52,0.01,13.9,0.01,13.35,0.01,13.08,0.02,12.79,0.03,L0     ,2.65,L0:    ,6,Simbad,144.14117,6.24928
J093709.67+022549.6,21.17,0.13,19.35,0.11,18.63,0.05,17.24,0.02,16.35,0.02,15.65,0.02,15.2,0.04,15.08,0.08,L3.5   ,17.87,       ,  ,Simbad,144.29029,2.43044
J093731.88+070414.9,19.19,0.03,17.24,0.02,16.37,0.01,15.41,0.01,14.79,0.01,14.27,0.01,13.93,0.03,13.66,0.03,L0     ,7.63,       ,  ,Simbad,144.38283,7.07081
J093752.73+310522.5,19.86,0.03,17.97,0.03,17.04,0.01,16.03,0.01,15.35,0.01,14.79,0.01,14.52,0.03,14.27,0.04,L0     ,3.18,M9     ,3,Simbad,144.46971,31.08958
